user3 2017-03-10	Fri	hour:14 		response time:  0:00:00
user1 2017-03-10	Fri	hour:14 		response time:  0:02:00
user1 2017-03-10	Fri	hour:14 		response time:  0:00:00
user2 2017-03-10	Fri	hour:19 		response time:  0:03:00
user1 2017-03-10	Fri	hour:19 		response time:  0:03:00
user3 2017-03-11	Sat	hour:19 		response time:  0:00:00
user1 2017-03-11	Sat	hour:19 		response time:  0:00:00
user1 2017-03-11	Sat	hour:19 		response time:  0:00:00
user2 2017-03-11	Sat	hour:21 		response time:  0:01:00
user2 2017-03-11	Sat	hour:21 		response time:  0:00:00
user2 2017-03-11	Sat	hour:21 		response time:  0:00:00
user1 2017-03-11	Sat	hour:21 		response time:  0:01:00
user1 2017-03-11	Sat	hour:21 		response time:  0:01:00
user1 2017-03-11	Sat	hour:21 		response time:  0:00:00
user3 2017-03-11	Sat	hour:21 		response time:  0:04:00
